"Mode","Keys","Action","Description"
"Global","Ctrl+1","Switch to Mail","Show the Mail view"
"Global","Ctrl+2","Switch to Calendar","Show the Calendar view"
"Global","Ctrl+3","Switch to Contacts","Show the People/Contacts view"
"Global","Ctrl+4","Switch to Tasks","Show the Tasks view"
"Global","Ctrl+5","Switch to Notes","Show the Notes view"
"Global","Ctrl+6","Switch to Folder List","Show the Folder List in the Navigation Pane"
"Global","Ctrl+7","Switch to Shortcuts","Show the Shortcuts view"
"Global","F9","Send/Receive All","Send and receive all accounts"
"Global","Ctrl+M","Send/Receive All","Alternate shortcut to send and receive all accounts"
"Global","Ctrl+Shift+M","New Email (anywhere)","Create a new email message from any module"
"Global","Ctrl+Shift+I","Go to Inbox","Switch to the Inbox"
"Global","Ctrl+Shift+O","Go to Outbox","Switch to the Outbox"
"Global","Ctrl+Shift+B","Address Book","Open the Address Book"
"Global","Ctrl+Shift+F","Advanced Find","Open the Advanced Find dialog"
"Global","Alt+Q","Jump to Search","Move focus to the Search box in any module"
"Global","Ctrl+O","Open Item","Open the selected item in its own window"
"Global","Ctrl+P","Print","Print the current item"
"Global","Ctrl+S","Save","Save the current item"
"Global","Ctrl+Z","Undo","Undo the last action"
"Global","F1","Help","Open Outlook Help"
"Global","F7","Check Spelling","Check spelling in the current item"
"Global","Alt+F4","Close Outlook","Close the active Outlook window"
"Global","Ctrl+Alt+J","Mark as Not Junk","Mark the selected message as not junk"
"Global","Ctrl+Shift+N","New Note","Create a new note from any module"
"Global","Ctrl+Shift+E","New Folder","Create a new folder"
"Global","Delete","Delete Item","Delete the selected item"
"Global","Ctrl+Shift+V","Move to Folder","Open the Move Item dialog"
"Navigation","Ctrl+Y","Go to Folder","Open the Go to Folder dialog"
"Navigation","Ctrl+Comma","Previous Item","Select the previous item in the list"
"Navigation","Ctrl+Period","Next Item","Select the next item in the list"
"Navigation","Tab","Cycle Panes","Move focus between the Folder Pane, item list, Reading Pane, and ribbon"
"Navigation","F6","Cycle Panes Forward","Move focus forward between panes"
"Navigation","Shift+F6","Cycle Panes Backward","Move focus backward between panes"
"Navigation","Ctrl+Shift+Tab","Previous Pane","Move focus to the previous pane"
"Navigation","Page Up","Scroll Up","Scroll up in the active pane"
"Navigation","Page Down","Scroll Down","Scroll down in the active pane"
"Navigation","Alt+Left","Back","Go back to the previous view"
"Navigation","Alt+Right","Forward","Go forward to the next view"
